satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,employeeID
0.1,0.94,6,255,4,0,1,0,technical,low,120135
0.38,0.46,2,137,3,0,1,0,technical,low,120136
0.45,0.5,2,126,3,0,1,0,technical,low,120137
0.11,0.89,6,306,4,0,1,0,technical,low,120138
0.41,0.54,2,152,3,0,1,0,technical,low,120139
0.87,0.88,5,269,5,0,1,0,technical,low,120140
0.45,0.48,2,158,3,0,1,0,technical,low,120141
0.4,0.46,2,127,3,0,1,0,technical,low,120142
0.1,0.8,7,281,4,0,1,0,technical,low,120143
0.09,0.89,6,276,4,0,1,0,technical,low,120144
0.84,0.74,3,182,4,0,1,0,technical,low,120145
0.4,0.55,2,147,3,0,1,0,support,low,120146
0.57,0.7,3,273,6,0,1,0,support,low,120147
0.4,0.54,2,148,3,0,1,0,support,low,120148
0.43,0.47,2,147,3,0,1,0,support,low,120149
0.13,0.78,6,152,2,0,1,0,support,low,120150
0.44,0.55,2,135,3,0,1,0,support,low,120151
0.38,0.55,2,134,3,0,1,0,support,low,120152
0.39,0.54,2,132,3,0,1,0,support,low,120153
0.1,0.92,7,307,4,0,1,0,support,low,120154
0.37,0.46,2,140,3,0,1,0,support,low,120155
0.11,0.94,7,255,4,0,1,0,support,low,120156
0.1,0.81,6,309,4,0,1,0,technical,low,120157
0.38,0.54,2,128,3,0,1,0,technical,low,120158
0.85,1,4,225,5,0,1,0,technical,low,120159
0.85,0.91,5,226,5,0,1,0,management,medium,120160
0.11,0.93,7,308,4,0,1,0,IT,medium,120161
0.1,0.95,6,244,5,0,1,0,IT,medium,120162
0.36,0.56,2,132,3,0,1,0,IT,medium,120163
0.11,0.94,6,286,4,0,1,0,IT,medium,120164
0.81,0.7,6,161,4,0,1,0,IT,medium,120165
0.43,0.54,2,153,3,0,1,0,product_mng,medium,120166
0.9,0.98,4,264,6,0,1,0,product_mng,medium,120167
0.76,0.86,5,223,5,1,1,0,product_mng,medium,120168
0.43,0.5,2,135,3,0,1,0,product_mng,medium,120169
0.74,0.99,2,277,3,0,1,0,IT,medium,120170
0.09,0.77,5,275,4,0,1,0,product_mng,medium,120171
0.45,0.49,2,149,3,0,1,0,product_mng,high,120172
0.09,0.87,7,295,4,0,1,0,product_mng,low,120173
0.11,0.97,6,277,4,0,1,0,product_mng,medium,120174
0.11,0.79,7,306,4,0,1,0,product_mng,medium,120175
0.1,0.83,6,295,4,0,1,0,product_mng,medium,120176
0.4,0.54,2,137,3,0,1,0,marketing,medium,120177
0.43,0.56,2,157,3,0,1,0,sales,low,120178
0.39,0.56,2,142,3,0,1,0,accounting,low,120179
0.45,0.54,2,140,3,0,1,0,support,low,120180
0.38,0.49,2,151,3,0,1,0,technical,low,120181
0.79,0.59,4,139,3,0,1,1,management,low,120182
0.84,0.85,4,249,6,0,1,0,marketing,low,120183
0.11,0.77,6,291,4,0,1,0,marketing,low,120184
0.11,0.87,6,305,4,0,1,0,marketing,low,120185
0.17,0.84,5,232,3,0,1,0,sales,low,120186
0.44,0.45,2,132,3,0,1,0,sales,low,120187
0.37,0.57,2,130,3,0,1,0,sales,low,120188
0.1,0.79,6,291,4,0,1,0,sales,low,120189
0.4,0.5,2,130,3,0,1,0,sales,low,120190
0.89,1,5,246,5,0,1,0,sales,low,120191
0.42,0.48,2,143,3,0,1,0,sales,low,120192
0.46,0.55,2,129,3,0,1,0,sales,low,120193
0.09,0.83,6,255,4,0,1,0,sales,low,120194
0.37,0.51,2,155,3,0,1,0,sales,low,120195
0.1,0.77,6,265,4,0,1,0,sales,low,120196
0.1,0.84,6,279,4,0,1,0,sales,low,120197
0.11,0.97,6,284,4,0,1,0,sales,low,120198
0.9,1,5,221,6,0,1,0,sales,medium,120199
0.38,0.52,2,154,3,0,1,0,sales,medium,120200
0.36,0.52,2,147,3,0,1,0,sales,medium,120201
0.42,0.46,2,150,3,0,1,0,sales,medium,120202
0.09,0.94,7,267,4,0,1,0,sales,medium,120203
0.43,0.52,2,158,3,0,1,0,sales,medium,120204
0.24,0.46,7,224,5,0,1,0,accounting,medium,120205
0.91,1,4,257,5,0,1,0,accounting,medium,120206
0.44,0.5,2,148,3,0,1,0,accounting,medium,120207
0.71,0.87,3,177,4,0,1,0,hr,medium,120208
0.4,0.49,2,155,3,0,1,0,hr,medium,120209
0.43,0.47,2,144,3,0,1,0,hr,medium,120210
0.09,0.85,6,289,4,0,1,0,hr,high,120211
0.43,0.52,2,160,3,0,1,0,technical,low,120212
0.9,0.96,4,258,5,0,1,0,technical,medium,120213
0.84,1,5,234,5,0,1,0,technical,medium,120214
0.37,0.48,2,137,3,0,1,0,technical,medium,120215
0.86,0.68,5,263,2,0,1,0,technical,medium,120216
0.11,0.84,6,251,4,0,1,0,technical,low,120217
0.37,0.57,2,133,3,0,1,0,technical,low,120218
0.4,0.46,2,132,3,0,1,0,technical,low,120219
0.14,0.62,4,158,4,1,1,0,technical,low,120220
0.4,0.46,2,135,3,0,1,0,technical,low,120221
0.75,1,4,216,6,0,1,0,technical,low,120222
0.11,0.84,6,300,5,1,1,0,support,low,120223
0.46,0.49,2,138,3,0,1,0,support,low,120224
0.11,0.92,6,260,4,0,1,0,support,low,120225
0.38,0.49,2,132,3,0,1,0,support,low,120226
0.7,0.89,3,183,5,0,1,0,support,low,120227
0.09,0.82,6,250,4,0,1,0,support,low,120228
0.37,0.45,2,151,3,0,1,0,support,low,120229
0.1,0.83,6,292,4,0,1,0,support,low,120230
0.38,0.57,2,140,3,0,1,0,support,low,120231
0.9,1,5,221,5,0,1,0,support,low,120232
0.44,0.51,2,138,3,0,1,0,support,low,120233
0.36,0.5,2,132,3,0,1,0,technical,low,120234
0.31,0.84,7,133,5,0,1,0,technical,low,120235
0.1,0.84,6,283,4,1,1,0,technical,low,120236
0.42,0.48,2,129,3,0,1,0,management,low,120237
0.74,1,4,249,5,0,1,0,IT,low,120238
0.73,0.87,5,257,5,0,1,0,IT,low,120239
0.09,0.96,6,245,4,0,1,0,IT,low,120240
0.45,0.53,2,155,3,0,1,0,IT,low,120241
0.11,0.8,6,256,4,0,1,0,IT,low,120242
0.37,0.47,2,152,3,0,1,0,product_mng,low,120243
0.84,0.99,4,267,5,0,1,0,product_mng,low,120244
0.41,0.46,2,151,3,0,1,0,product_mng,low,120245
0.76,0.92,4,239,5,0,1,0,product_mng,low,120246
0.11,0.87,6,306,4,0,1,0,IT,low,120247
0.84,0.88,4,263,5,1,1,0,marketing,low,120248
0.39,0.5,2,147,3,0,1,0,marketing,low,120249
0.11,0.91,6,278,4,0,1,0,marketing,low,120250
0.45,0.56,2,154,3,0,1,0,marketing,low,120251
0.37,0.52,2,143,3,0,1,0,marketing,low,120252
0.4,0.52,2,155,3,0,1,0,marketing,low,120253
0.39,0.48,2,160,3,0,1,0,sales,low,120254
0.11,0.8,6,304,4,0,1,0,accounting,low,120255
0.83,1,5,240,5,0,1,0,support,low,120256
0.11,0.92,6,305,4,0,1,0,technical,low,120257
0.39,0.5,2,136,3,0,1,0,management,low,120258
0.45,0.45,2,132,3,0,1,0,marketing,low,120259
0.1,0.95,7,301,4,0,1,0,marketing,low,120260
0.9,0.98,5,243,6,0,1,0,marketing,low,120261
0.45,0.51,2,147,3,0,1,0,sales,low,120262
0.79,0.89,5,239,5,0,1,0,sales,low,120263
0.9,0.99,5,260,5,0,1,0,sales,low,120264
0.11,0.84,7,296,4,0,1,0,sales,low,120265
0.43,0.55,2,129,3,0,1,0,sales,low,120266
0.31,0.54,5,132,5,0,1,0,sales,low,120267
0.32,0.5,2,135,5,0,1,0,sales,low,120268
0.45,0.57,2,158,3,0,1,0,sales,low,120269
0.81,0.99,4,259,5,0,1,0,sales,low,120270
0.41,0.46,2,160,3,0,1,1,sales,low,120271
0.11,0.78,7,278,4,0,1,0,sales,low,120272
0.1,0.88,6,284,4,0,1,0,sales,low,120273
0.7,0.53,2,274,4,0,1,0,sales,low,120274
0.54,0.74,4,164,2,0,1,0,sales,low,120275
0.41,0.48,2,148,3,0,1,0,sales,low,120276
0.38,0.5,2,140,3,0,1,0,sales,medium,120277
0.37,0.51,2,127,3,0,1,0,sales,medium,120278
0.11,0.85,6,308,5,0,1,0,sales,medium,120279
0.4,0.47,2,146,3,0,1,0,sales,medium,120280
0.1,0.84,6,261,4,0,1,0,accounting,medium,120281
0.89,0.99,5,257,5,0,1,0,accounting,medium,120282
0.11,0.8,6,285,4,0,1,0,accounting,medium,120283
0.36,0.55,2,141,3,0,1,0,hr,medium,120284
0.4,0.46,2,127,3,0,1,0,hr,medium,120285
0.09,0.85,6,297,4,0,1,0,hr,medium,120286
0.4,0.46,2,143,3,0,1,0,hr,medium,120287
0.37,0.55,2,152,3,0,1,0,technical,medium,120288
0.44,0.51,2,156,3,0,1,0,technical,high,120289
0.09,0.8,7,283,5,0,1,0,technical,low,120290
0.92,0.87,4,226,6,1,1,0,technical,medium,120291
0.74,0.91,4,232,5,0,1,0,technical,medium,120292
0.09,0.82,6,249,4,0,1,0,technical,medium,120293
0.89,0.95,4,275,5,0,1,0,technical,medium,120294
0.09,0.8,6,304,4,0,1,0,technical,low,120295
0.27,0.54,7,278,3,0,1,0,technical,low,120296
0.1,0.91,6,287,4,0,1,0,technical,low,120297
0.1,0.89,7,285,4,0,1,0,technical,low,120298
0.77,0.94,5,226,6,0,1,0,support,low,120299
0.9,0.82,5,259,5,0,1,0,support,low,120300
0.39,0.5,2,135,3,0,1,0,support,low,120301
0.76,1,5,219,5,0,1,0,support,low,120302
0.1,0.93,6,256,4,0,1,0,support,low,120303
0.87,0.9,5,254,6,0,1,0,support,low,120304
0.38,0.5,2,153,3,0,1,0,support,low,120305
0.77,0.99,5,228,5,0,1,0,support,low,120306
0.78,0.87,4,228,5,0,1,0,support,low,120307
0.44,0.5,2,128,3,0,1,0,support,low,120308
0.38,0.52,2,153,3,0,1,0,support,low,120309
0.43,0.46,2,156,3,0,1,0,technical,low,120310
0.39,0.5,4,294,3,0,1,0,technical,low,120311
0.88,1,5,219,5,0,1,0,technical,low,120312
0.45,0.46,2,153,3,0,1,0,management,low,120313
0.4,0.53,2,151,3,0,1,0,IT,low,120314
0.36,0.51,2,155,3,0,1,0,IT,low,120315
0.36,0.48,2,158,3,0,1,0,IT,low,120316
0.9,0.98,5,245,5,0,1,0,IT,low,120317
0.43,0.53,2,131,3,0,1,0,IT,low,120318
0.89,0.87,5,225,5,0,1,0,product_mng,low,120319
0.1,0.84,6,286,4,0,1,0,product_mng,low,120320
0.37,0.5,2,135,3,0,1,0,product_mng,low,120321
0.37,0.51,2,153,3,0,1,0,product_mng,low,120322
0.87,0.9,5,252,5,0,1,0,IT,low,120323
0.4,0.56,2,149,3,0,1,0,accounting,low,120324
0.9,0.97,4,258,5,0,1,0,accounting,low,120325
0.37,0.46,2,158,3,0,1,0,hr,low,120326
0.44,0.54,2,149,3,0,1,0,hr,low,120327
0.85,0.95,5,236,5,0,1,0,hr,low,120328
0.78,0.98,5,239,6,0,1,0,marketing,low,120329
0.42,0.47,2,159,3,0,1,0,marketing,low,120330
0.92,0.99,5,255,6,0,1,0,sales,low,120331
0.11,0.83,6,244,4,0,1,0,accounting,low,120332
0.42,0.56,2,134,3,0,1,0,support,low,120333
0.48,0.57,4,270,4,0,1,0,technical,low,120334
0.83,0.85,4,255,5,0,1,0,management,low,120335
0.4,0.53,2,151,3,0,1,0,marketing,low,120336
0.43,0.45,2,135,3,0,1,0,marketing,low,120337
0.43,0.53,2,146,3,0,1,0,marketing,low,120338
0.1,0.97,7,254,4,0,1,0,sales,low,120339
0.1,0.87,7,289,4,0,1,0,sales,low,120340
0.37,0.46,2,156,3,0,1,0,sales,low,120341
0.38,0.53,2,156,3,0,1,0,sales,low,120342
0.4,0.5,2,128,3,0,1,0,sales,low,120343
0.89,0.86,5,275,5,0,1,0,sales,low,120344
0.45,0.46,2,155,3,0,1,0,sales,low,120345
0.37,0.48,2,159,3,0,1,0,sales,low,120346
0.46,0.49,2,148,3,0,1,0,sales,low,120347
0.87,0.91,4,228,5,0,1,0,sales,low,120348
0.11,0.84,6,298,4,0,1,0,sales,low,120349
0.79,0.87,5,261,5,0,1,0,sales,low,120350
0.79,0.92,5,254,6,0,1,0,sales,low,120351
0.19,0.59,7,192,3,0,1,0,sales,low,120352
0.87,0.98,4,248,5,0,1,0,sales,low,120353
0.6,0.92,2,258,5,0,1,0,sales,low,120354
0.44,0.45,2,156,3,0,1,0,sales,medium,120355
0.11,0.81,6,266,4,1,1,0,sales,medium,120356
0.42,0.54,2,156,3,0,1,0,sales,medium,120357
0.88,0.88,5,232,5,1,1,0,accounting,medium,120358
0.11,0.84,6,287,4,0,1,0,accounting,medium,120359
0.46,0.46,2,154,3,0,1,0,accounting,medium,120360
0.82,0.97,5,263,5,0,1,0,hr,medium,120361
0.44,0.56,2,131,3,0,1,0,hr,medium,120362
0.11,0.78,6,260,4,0,1,0,hr,medium,120363
0.42,0.5,2,139,3,0,1,0,hr,medium,120364
0.84,0.93,4,251,5,0,1,0,technical,medium,120365
0.11,0.95,6,286,4,0,1,0,technical,medium,120366
0.45,0.53,2,129,3,0,1,0,technical,high,120367
0.38,0.56,2,156,3,0,1,0,technical,low,120368
0.38,0.86,6,139,6,0,1,0,technical,medium,120369
0.44,0.51,2,127,3,0,1,0,technical,medium,120370
0.11,0.84,6,251,4,0,1,0,technical,medium,120371
0.81,0.93,5,270,5,0,1,0,technical,medium,120372
0.09,0.96,6,296,4,0,1,0,technical,low,120373
0.11,0.9,6,254,4,0,1,0,technical,low,120374
0.81,0.95,5,238,6,0,1,0,technical,low,120375
0.1,0.97,6,267,4,1,1,0,support,low,120376
0.74,0.89,5,229,6,0,1,0,support,low,120377
0.09,0.78,6,254,4,0,1,0,support,low,120378
0.82,0.81,4,233,4,1,1,0,support,low,120379
0.1,0.98,6,268,4,0,1,0,support,low,120380
0.27,0.56,3,301,3,0,1,0,support,low,120381
0.83,0.92,5,267,6,0,1,0,support,low,120382
0.1,0.93,6,289,4,1,1,0,support,low,120383
0.38,0.47,2,144,3,0,1,0,support,low,120384
0.4,0.56,2,148,3,0,1,0,support,low,120385
0.11,0.83,6,306,4,0,1,0,support,low,120386
0.11,0.79,6,292,4,0,1,1,technical,low,120387
0.82,0.91,5,232,5,0,1,0,technical,low,120388
0.36,0.48,2,137,3,0,1,0,technical,low,120389
0.4,0.46,2,128,3,0,1,0,management,low,120390
0.87,0.84,5,231,5,0,1,0,IT,low,120391
0.41,0.49,2,146,3,0,1,0,IT,low,120392
0.11,0.91,6,308,4,1,1,0,IT,low,120393
0.1,0.93,6,253,4,0,1,0,IT,medium,120394
0.38,0.51,2,146,3,0,1,0,IT,medium,120395
0.39,0.55,2,156,3,0,1,0,product_mng,medium,120396
0.4,0.52,2,147,3,0,1,0,product_mng,medium,120397
0.45,0.48,2,136,3,0,1,0,product_mng,medium,120398
0.74,0.84,5,249,5,0,1,0,product_mng,medium,120399
0.45,0.55,2,151,3,0,1,0,IT,medium,120400
0.12,1,3,278,4,0,1,0,RandD,medium,120401
0.1,0.77,7,250,5,0,1,0,RandD,medium,120402
0.37,0.55,2,127,3,0,1,0,RandD,medium,120403
0.89,0.87,5,255,5,0,1,0,RandD,medium,120404
0.45,0.47,2,135,3,0,1,0,RandD,medium,120405
0.37,0.46,2,149,3,0,1,0,marketing,high,120406
0.11,0.81,5,287,4,0,1,0,sales,low,120407
0.41,0.48,2,145,3,0,1,0,accounting,medium,120408
0.1,0.94,6,285,4,0,1,0,support,medium,120409
0.1,0.93,7,305,4,0,1,0,technical,medium,120410
0.11,0.95,7,300,4,0,1,0,management,medium,120411
0.4,0.54,2,139,3,0,1,0,marketing,low,120412
0.41,0.49,2,130,3,0,1,0,marketing,low,120413
0.1,0.81,6,268,4,0,1,0,marketing,low,120414
0.73,0.86,4,245,6,0,1,0,sales,low,120415
0.43,0.47,2,135,3,0,1,0,sales,low,120416
0.37,0.46,2,153,3,0,1,0,sales,low,120417
0.11,0.94,6,276,4,0,1,0,sales,low,120418
0.4,0.46,2,130,3,0,1,0,sales,low,120419
0.41,0.54,2,153,3,1,1,0,sales,low,120420
0.82,0.84,5,244,5,0,1,0,sales,low,120421
0.61,0.47,2,253,3,0,1,0,sales,low,120422
0.11,0.91,7,287,4,0,1,0,sales,low,120423
0.37,0.45,2,131,3,0,1,0,sales,low,120424
0.41,0.52,2,135,3,0,1,0,sales,low,120425
0.37,0.52,2,157,3,0,1,0,sales,low,120426
0.88,0.99,5,262,6,0,1,0,sales,low,120427
0.1,0.85,6,266,4,0,1,0,sales,low,120428
0.44,0.48,2,148,3,0,1,0,sales,low,120429
0.38,0.57,2,140,3,0,1,0,sales,low,120430
0.11,0.85,7,302,4,0,1,0,sales,low,120431
0.09,0.98,6,271,4,0,1,0,sales,low,120432
0.45,0.52,2,145,3,0,1,0,sales,medium,120433
0.1,0.81,6,290,4,0,1,0,accounting,medium,120434
0.45,0.47,2,151,3,0,1,0,accounting,medium,120435
0.77,0.87,5,266,5,0,1,0,accounting,medium,120436
0.44,0.51,2,140,3,0,1,0,hr,medium,120437
0.39,0.5,2,142,3,0,1,0,hr,medium,120438
0.1,0.91,6,246,4,0,1,0,hr,medium,120439
0.09,0.89,7,308,5,0,1,0,hr,medium,120440
0.37,0.47,2,141,3,0,1,0,technical,medium,120441
0.9,1,5,232,5,0,1,0,technical,medium,120442
0.41,0.56,2,143,3,0,1,0,technical,medium,120443
0.37,0.52,2,155,3,0,1,0,technical,medium,120444
0.1,0.86,6,278,4,0,1,0,technical,high,120445
0.81,1,4,253,5,0,1,0,technical,low,120446
0.11,0.8,6,282,4,0,1,0,technical,medium,120447
0.11,0.84,7,264,4,0,1,0,technical,medium,120448
0.4,0.46,2,149,3,0,1,0,technical,medium,120449
0.09,0.8,6,304,5,0,1,0,technical,medium,120450
0.48,0.93,3,219,6,0,1,0,technical,low,120451
0.91,0.91,4,262,6,0,1,0,support,low,120452
0.43,0.57,2,135,3,0,1,0,support,low,120453
0.33,0.88,6,219,5,0,1,0,support,low,120454
0.41,0.57,2,136,3,0,1,0,support,low,120455
0.41,0.55,2,154,3,0,1,0,support,low,120456
0.37,0.54,2,149,3,0,1,0,support,low,120457
0.31,0.62,6,135,5,0,1,0,support,low,120458
0.09,0.91,6,275,4,0,1,0,support,low,120459
0.1,0.87,6,290,4,0,1,0,support,low,120460
0.76,0.9,4,263,5,0,1,0,support,low,120461
0.41,0.54,2,145,3,0,1,0,support,low,120462
0.72,0.96,5,267,5,0,1,0,technical,low,120463
0.4,0.5,2,141,3,1,1,0,technical,low,120464
0.91,0.87,4,235,5,0,1,0,technical,low,120465
0.1,0.83,6,258,4,0,1,0,management,low,120466
0.4,0.56,2,131,3,0,1,0,IT,low,120467
0.82,0.86,5,243,5,0,1,0,IT,low,120468
0.1,0.82,6,266,4,0,1,0,IT,low,120469
0.37,0.45,2,142,3,0,1,0,IT,low,120470
0.36,0.51,2,135,3,0,1,0,IT,low,120471
0.39,0.48,2,141,3,0,1,0,product_mng,medium,120472
0.36,0.57,2,142,3,0,1,0,product_mng,medium,120473
0.86,0.84,5,254,5,0,1,0,product_mng,medium,120474
0.73,0.99,5,262,5,0,1,0,product_mng,medium,120475
0.56,0.71,4,296,2,0,1,0,IT,medium,120476
0.44,0.56,2,158,3,0,1,0,accounting,medium,120477
0.31,0.56,4,238,2,0,1,0,accounting,medium,120478
0.77,0.93,4,231,5,0,1,0,hr,medium,120479
0.44,0.45,2,156,3,0,1,0,hr,medium,120480
0.38,0.46,2,145,3,0,1,0,hr,medium,120481
0.45,0.48,2,144,3,0,1,0,marketing,medium,120482
0.38,0.51,2,159,3,0,1,0,sales,medium,120483
0.36,0.48,2,156,3,0,1,0,accounting,high,120484
0.75,0.9,5,256,5,0,1,0,support,low,120485
0.1,0.93,6,298,4,0,1,0,technical,medium,120486
0.1,0.97,6,247,4,0,1,0,management,medium,120487
0.45,0.5,2,157,3,0,1,0,marketing,medium,120488
0.42,0.57,2,154,3,1,1,0,marketing,medium,120489
0.78,1,4,253,5,0,1,0,marketing,low,120490
0.45,0.55,2,148,3,0,1,0,sales,low,120491
0.84,1,4,261,5,0,1,0,sales,low,120492
0.11,0.93,6,282,4,0,1,0,sales,low,120493
0.42,0.56,2,133,3,0,1,0,sales,low,120494
0.45,0.46,2,128,3,0,1,0,sales,low,120495
0.46,0.57,2,139,3,0,1,0,sales,low,120496
0.09,0.79,6,293,5,0,1,0,sales,low,120497
0.87,0.83,4,265,6,0,1,0,sales,low,120498
0.1,0.87,6,250,4,0,1,0,sales,low,120499
0.91,1,5,251,6,0,1,0,sales,low,120500
0.76,0.92,4,246,5,0,1,0,sales,low,120501
0.74,1,5,275,5,0,1,0,sales,low,120502
0.92,0.93,5,240,5,0,1,0,sales,low,120503
0.76,0.87,5,245,5,0,1,0,sales,low,120504
0.47,0.5,4,254,4,0,1,0,sales,low,120505
0.73,0.99,5,241,5,0,1,0,sales,low,120506
0.09,0.94,6,257,4,0,1,0,sales,low,120507
0.91,0.92,4,246,5,0,1,0,sales,low,120508
0.82,0.98,4,233,5,0,1,0,sales,low,120509
0.28,0.45,6,218,4,0,1,0,accounting,low,120510
0.84,0.99,4,262,6,0,1,0,accounting,medium,120511
0.45,0.53,2,138,3,0,1,0,accounting,medium,120512
0.45,0.54,2,142,3,0,1,0,hr,medium,120513
0.91,0.97,5,233,5,0,1,0,hr,medium,120514
0.42,0.48,2,155,3,0,1,0,hr,medium,120515
0.82,1,4,229,6,0,1,0,hr,medium,120516
0.11,0.9,6,264,4,0,1,0,technical,medium,120517
0.42,0.53,3,199,4,0,1,0,technical,medium,120518
0.82,0.85,4,223,5,0,1,0,technical,medium,120519
0.09,0.96,6,268,4,0,1,0,technical,medium,120520
0.1,0.94,6,287,4,0,1,0,technical,medium,120521
0.86,1,5,257,5,0,1,0,technical,medium,120522
0.4,0.46,2,143,3,0,1,0,technical,high,120523
0.45,0.46,2,130,3,0,1,0,technical,low,120524
0.42,0.51,2,136,3,0,1,0,technical,medium,120525
0.74,0.92,4,261,5,0,1,0,technical,medium,120526
0.55,0.6,3,180,4,0,1,0,technical,medium,120527
0.37,0.45,2,126,3,0,1,0,support,medium,120528
0.41,0.52,2,127,3,1,1,0,support,low,120529
0.89,0.65,5,195,6,0,1,0,support,low,120530
0.41,0.57,2,160,3,0,1,0,support,low,120531
0.44,0.51,2,150,3,0,1,0,support,low,120532
0.87,0.84,4,264,6,0,1,0,support,low,120533
0.1,0.84,6,309,4,0,1,0,support,low,120534
0.41,0.47,2,135,3,0,1,0,support,low,120535
0.11,0.85,6,261,4,0,1,0,support,low,120536
0.43,0.53,2,160,3,0,1,0,support,low,120537
0.77,0.9,4,237,5,0,1,0,support,low,120538
0.41,0.52,2,136,3,0,1,0,technical,low,120539
0.41,0.48,2,139,3,0,1,0,technical,low,120540
0.36,0.78,2,151,4,0,1,0,technical,low,120541
0.77,1,5,229,5,0,1,0,management,low,120542
0.81,0.98,5,245,5,0,1,0,IT,low,120543
0.39,0.54,2,127,3,0,1,0,IT,low,120544
0.09,0.94,6,283,5,0,1,0,IT,low,120545
0.44,0.46,2,143,3,0,1,0,IT,low,120546
0.1,0.84,5,298,4,0,1,0,IT,low,120547
0.36,0.48,2,159,3,0,1,0,product_mng,low,120548
0.81,0.92,5,239,5,0,1,0,product_mng,low,120549
0.81,0.9,4,226,5,0,1,0,product_mng,medium,120550
0.85,0.98,5,248,5,0,1,0,product_mng,medium,120551
0.1,0.87,6,286,4,0,1,0,IT,medium,120552
0.37,0.54,2,145,3,0,1,0,RandD,medium,120553
0.09,0.97,7,254,4,1,1,0,RandD,medium,120554
0.44,0.53,2,127,3,0,1,0,RandD,medium,120555
0.86,0.93,5,223,5,0,1,0,RandD,medium,120556
0.77,1,4,255,5,0,1,0,RandD,medium,120557
0.41,0.48,2,136,3,0,1,0,marketing,medium,120558
0.4,0.48,2,137,3,0,1,0,sales,medium,120559
0.43,0.49,2,135,3,0,1,0,accounting,medium,120560
0.43,0.5,2,137,3,0,1,0,support,medium,120561
0.8,0.53,3,255,5,0,1,0,technical,high,120562
0.8,0.85,4,273,5,0,1,0,management,low,120563
0.82,0.98,5,234,5,0,1,0,marketing,medium,120564
0.37,0.54,2,152,3,0,1,0,marketing,medium,120565
0.37,0.48,2,134,3,0,1,0,marketing,medium,120566
0.09,0.95,6,292,4,0,1,0,sales,medium,120567
0.9,0.92,5,245,5,0,1,0,sales,low,120568
0.41,0.52,2,159,3,0,1,0,sales,low,120569
0.1,0.85,6,260,4,0,1,0,sales,low,120570
0.44,0.53,2,149,3,0,1,0,sales,low,120571
0.89,0.85,5,266,5,0,1,0,sales,low,120572
0.42,0.56,2,149,3,0,1,0,sales,low,120573
0.87,1,5,242,5,0,1,0,sales,low,120574
0.45,0.57,2,134,3,0,1,0,sales,low,120575
0.11,0.87,5,271,4,0,1,0,sales,low,120576
0.09,0.79,6,275,4,0,1,0,sales,low,120577
0.76,0.83,5,227,5,0,1,0,sales,low,120578
0.11,0.96,7,277,5,0,1,0,sales,low,120579
0.37,0.49,2,151,3,0,1,0,sales,low,120580
0.1,0.79,6,274,4,0,1,0,sales,low,120581
0.77,0.87,4,242,6,0,1,0,sales,low,120582
0.42,0.54,2,143,3,1,1,0,sales,low,120583
0.38,0.52,2,145,3,0,1,0,sales,low,120584
0.32,0.95,5,172,2,0,1,0,sales,low,120585
0.38,0.49,2,135,3,0,1,0,accounting,low,120586
0.19,1,4,192,4,0,1,0,accounting,low,120587
0.1,0.83,7,276,4,0,1,0,accounting,low,120588
0.76,0.88,4,206,4,0,1,0,hr,medium,120589
